번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
216,등록체육시설업,10_31_03_P,6470000,3.02E+14,20131001,,1,영업/정상,1,영업,,,,,,,,경상북도 의성군 봉양면 신평리 산 107번지,경상북도 의성군 봉양면 농공마전길 1,,엠스클럽의성,2.01E+13,I,59:59.0,,340100.856,310137.5071,골프장,,,,0,0,0,없음,
217,등록체육시설업,10_31_03_P,6470000,3.02E+14,20131001,,1,영업/정상,1,영업,,,,,,,,경상북도 의성군 봉양면 신평리 산 107번지,경상북도 의성군 봉양면 농공마전길 1,,엠스클럽의성(18홀),2.01E+13,I,59:59.0,,340100.856,310137.5071,골프장,,,,1,6646.22,,없음,
218,등록체육시설업,10_31_03_P,6470000,3.02E+14,20131001,,1,영업/정상,1,영업,,,,,,,,경상북도 의성군 봉양면 신평리 산 107번지,경상북도 의성군 봉양면 농공마전길 1,,엠스클럽의성(18홀),2.01E+13,I,59:59.0,,340100.856,310137.5071,골프장,,,,1,6646.22,,없음,
219,등록체육시설업,10_31_03_P,6470000,3.02E+14,20131001,,1,영업/정상,1,영업,,,,,,,,경상북도 의성군 봉양면 신평리 산 107번지,경상북도 의성군 봉양면 농공마전길 1,,엠스클럽의성(18홀),2.01E+13,I,59:59.0,,340100.856,310137.5071,골프장,,,,1,6646.22,,없음,
220,등록체육시설업,10_31_03_P,6470000,3.02E+14,20140110,,1,영업/정상,1,영업,,,,,544200201,,,경상북도 김천시 구성면 송죽리 611번지 2호,경상북도 김천시 구성면 남김천대로 2532,,베네치아컨트리클럽,2.01E+13,I,59:59.0,,295265.7482,282954.5776,골프장,,,,5,6579,966,,
221,등록체육시설업,10_31_03_P,6470000,3.02E+14,20140122,,1,영업/정상,1,영업,,,,,5433367200,,,경상북도 영천시 청통면 보성리 32번지 1호,경상북도 영천시 청통면 청통로 334-41,,영천 시엘골프클럽,2.01E+13,I,59:59.0,,367399.3542,278477.2745,골프장,,,,4,1603.48,0,,
222,등록체육시설업,10_31_03_P,6470000,3.02E+14,20140627,,1,영업/정상,1,영업,,,,,,0,,경상북도 고령군 쌍림면 월막리 산 40번지 2호,,,고령 마스터피스C.C,2.02E+13,U,40:00.0,,309242.3159,245850.1914,골프장,,,,4,6413.72,,정규대중,(주)누가개발
223,등록체육시설업,10_31_03_P,6470000,3.02E+14,20150227,,1,영업/정상,1,영업,,,,,,,,경상북도 김천시 어모면 능치리 산 37번지,,,애플밸리 cc,2.02E+13,U,40:00.0,,295754.6446,303629.0235,골프장,,,,3,2309.76,,정규대중,
224,등록체육시설업,10_31_03_P,6470000,3.02E+14,20150618,,1,영업/정상,1,영업,,,,,7086603956,,,경상북도 영천시 청통면 송천리 661번지 1호 청통골프장,,,청통골프장,2.02E+13,U,40:00.0,,363167.2436,277791.4528,골프장,,,,8,5225.35,,,
225,등록체육시설업,10_31_03_P,6470000,3.02E+14,20171020,,1,영업/정상,1,영업,,,,,,,,경상북도 의성군 봉양면 신평리 50번지 0호 파라지오컨트리클럽 1동,"경상북도 의성군 봉양면 농공마전길 167-0, 1동 1층 1호 (파라지오컨트리클럽)",,파라지오 컨트리클럽,2.02E+13,U,40:00.0,,,,골프장,,,,4,3972.96,,없음,
226,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080429,,1,영업/정상,1,영업,,,,,,,,경상북도 상주시 모서면 화현리 산 46번지 1호,경상북도 상주시 모서면 화현3길 127,,블루원상주골프리조트,2.01E+13,I,59:59.0,,283278.1176,315740.126,골프장,,,,,6303.75,,없음,
227,등록체육시설업,10_31_03_P,6470000,3.02E+14,20090929,,1,영업/정상,1,영업,,,,,,,,경상북도 칠곡군 왜관읍 봉계리 17번지,경상북도 칠곡군 왜관읍 봉계3길 180,,세븐밸리컨트리클럽,2.02E+13,U,40:00.0,,331910.8951,280638.0665,골프장,,,,4,7087.55,780,회원제,(주)씨제이파라다이스 이동선
228,등록체육시설업,10_31_03_P,6470000,3.02E+14,20160727,,1,영업/정상,1,영업,,,,,,0,,경상북도 청도군 금천면 갈지리 산 204번지,,,펜타뷰골프클럽,2.02E+13,U,40:00.0,,367687.8517,250572.89,골프장,,,,3,388.25,,일반대중,
